FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT010001,PCT010002,PCT010003,PCT010004,PCT010005,PCT010006,PCT010007,PCT010008,PCT010009,PCT010010,PCT010011,PCT010012,PCT010013,PCT010014,PCT011001,PCT011002,PCT011003,PCT011004,PCT011005,PCT011006,PCT011007,PCT011008,PCT011009,PCT011010,PCT011011,PCT011012,PCT011013,PCT011014,PCT011015,PCT011016,PCT011017,PCT011018,PCT011019,PCT011020,PCT011021,PCT011022,PCT011023,PCT011024,PCT011025,PCT011026,PCT011027,PCT011028,PCT011029,PCT011030,PCT011031
uSF1,TX,000,36,727472,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5686,5468,218,139,13,12,2,7,0,0,0,0,3,2,2,17,2,0,0,7,4,0,0,0,3,1,28,0,10,0,18
uSF1,TX,000,36,727473,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2496,2326,170,117,0,1,0,3,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,45,0,13,0,32
uSF1,TX,000,36,727474,25,15,15,0,0,0,8,8,0,0,0,0,0,2,4744,4400,344,219,20,7,0,7,0,0,6,0,1,0,0,6,1,0,0,1,0,0,1,0,3,0,85,0,21,2,62
uSF1,TX,000,36,727475,20,2,1,0,1,0,0,0,0,0,0,0,11,7,5824,2913,2911,2439,47,5,1,116,3,3,14,1,0,91,4,22,6,0,0,13,0,0,3,0,0,0,281,0,9,0,272
uSF1,TX,000,36,727476,27,5,1,4,0,0,8,8,0,0,0,0,0,14,5830,2923,2907,2470,36,5,3,60,0,0,5,0,1,53,1,11,0,0,0,2,3,0,0,1,4,1,322,0,15,0,307
uSF1,TX,000,36,727477,10,5,5,0,0,0,0,0,0,0,0,0,0,5,3652,2105,1547,1262,12,1,3,66,0,2,2,2,0,60,0,12,0,0,0,12,0,0,0,0,0,0,191,1,8,0,182
uSF1,TX,000,36,727478,20,12,2,10,0,0,0,0,0,1,0,1,0,7,9114,5960,3154,2443,85,13,5,77,0,33,2,0,3,37,2,33,0,1,0,28,0,0,1,0,0,3,498,0,35,0,463
uSF1,TX,000,36,727479,39,37,3,23,11,0,0,0,0,0,0,0,0,2,9353,4076,5277,4451,73,1,5,117,4,8,18,13,0,73,1,19,0,0,0,6,2,0,4,0,7,0,611,7,27,4,573
uSF1,TX,000,36,727480,27,5,3,2,0,0,3,3,0,1,1,0,0,18,8433,4548,3885,3271,35,7,0,50,8,1,12,0,0,25,4,9,0,0,0,4,0,0,5,0,0,0,513,2,22,0,489
uSF1,TX,000,36,727481,38,34,3,26,5,0,0,0,0,0,0,0,0,4,6166,4139,2027,1670,29,1,1,23,0,2,2,0,0,16,3,8,0,1,0,5,0,0,0,0,0,2,295,0,18,0,277
uSF1,TX,000,36,727482,8,0,0,0,0,0,7,6,1,0,0,0,0,1,2191,1042,1149,1016,4,1,0,14,0,0,5,0,0,5,4,2,0,0,0,0,0,0,0,0,1,1,112,2,5,0,105
uSF1,TX,000,36,727483,23,11,8,3,0,0,3,0,3,2,0,2,3,4,3722,2950,772,661,21,0,1,17,0,5,4,0,1,6,1,15,1,0,0,8,3,0,0,0,1,2,57,0,6,0,51
uSF1,TX,000,36,727484,32,6,4,0,1,1,20,10,10,0,0,0,0,6,6416,5132,1284,1082,24,5,2,36,2,0,5,7,5,15,2,34,4,0,2,20,0,0,5,0,3,0,101,1,12,0,88
uSF1,TX,000,36,727485,8,2,2,0,0,0,0,0,0,0,0,0,0,6,3815,3503,312,214,5,6,0,12,0,1,2,1,2,6,0,9,1,0,0,4,2,0,0,0,0,2,66,0,13,1,52
uSF1,TX,000,36,727486,2,0,0,0,0,0,1,1,0,0,0,0,0,1,3962,3708,254,174,9,3,0,13,7,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,54,0,5,0,49
